airport,Clothing & Accessories,Containers,Cosmetics,Electronics,Food & Drink,Household Items,Other,Outdoors Supplies,Supplies,Tools & Machines,Watches & Jewelry
SGU,1,0,0,1,0,0,2,0,1,1,0
SHD,1,0,1,0,0,0,1,0,0,0,1
SHR,1,0,1,0,0,0,2,1,0,0,0
SHV,22,4,8,20,2,0,25,1,2,3,10
SIT,2,2,1,11,1,0,5,2,1,3,1
SJC,157,30,72,258,18,7,248,30,4,38,122
SJT,10,1,7,10,0,1,13,2,2,6,6
SJU,119,45,82,462,36,3,243,15,11,58,325
SLC,139,28,107,190,9,8,209,52,12,41,90
SLN,0,0,0,0,0,0,0,0,0,0,1
SMF,146,39,104,203,18,5,207,32,13,61,104
SMX,2,0,3,5,0,0,1,0,0,2,4
SNA,168,42,91,191,9,3,198,27,7,50,120
SOW,1,0,0,0,0,0,0,0,0,0,0
SPI,4,0,2,3,0,0,6,0,0,0,0
SPS,2,0,0,1,0,1,2,1,0,0,0
SRQ,30,8,14,27,0,0,43,3,2,11,32
STC,0,1,1,0,0,0,1,1,0,2,1
STL,149,31,80,159,10,7,187,26,7,37,108
STS,2,0,0,1,0,0,1,0,0,0,0
STT,39,12,33,100,22,0,46,5,2,16,56
STX,4,3,1,13,5,1,8,2,0,0,10
SUN,4,1,1,10,0,1,6,0,0,1,1
SUX,6,0,2,3,0,0,6,0,0,0,2
SWF,28,10,13,26,1,2,24,1,0,8,14
SYR,38,15,25,89,1,0,63,6,3,29,39
TBN,0,0,1,1,0,0,0,0,0,0,0
TEX,2,0,1,0,0,0,0,0,0,0,0
TLH,14,4,10,13,0,1,19,5,0,7,14
TOL,5,1,1,9,1,0,8,1,0,2,3
TPA,351,84,194,458,20,9,571,51,26,135,279
TRI,16,5,12,20,0,1,18,3,1,2,12
TSA,6,0,3,3,0,0,10,1,0,1,2
TTN,3,1,5,2,1,0,2,1,0,0,2
TUL,35,6,21,47,2,3,78,5,5,11,37
TUP,1,0,0,0,0,0,0,0,0,0,1
TUS,71,20,35,83,3,2,111,12,3,40,63
TVC,9,4,5,10,0,0,19,2,2,3,4
TWF,1,0,1,2,0,0,1,0,0,1,0
TXK,3,0,4,8,0,0,2,0,0,0,3
TYR,7,1,6,5,1,0,8,0,2,2,5
TYS,18,3,6,18,5,0,20,4,1,7,18
UNV,2,0,1,4,0,0,2,0,0,0,2
UTA,2,1,0,0,0,0,4,0,0,6,5
VCT,0,0,1,1,0,0,1,0,0,1,1
VDZ,0,0,0,0,0,0,0,2,0,1,0
VEL,0,0,1,0,0,0,0,0,0,0,0
VIS,0,0,0,1,0,0,0,1,0,0,1
VLD,2,1,1,8,0,0,1,0,0,0,1
VPS,13,2,5,11,1,0,15,3,3,4,10
WRG,2,0,0,1,1,1,2,1,0,0,0
WYS,2,1,0,2,0,0,2,1,0,0,0
XNA,14,1,9,21,0,1,24,2,3,8,7
YAK,2,0,0,2,0,0,6,3,0,0,0
YKM,4,0,6,6,0,0,7,1,0,0,3
YNG,2,3,5,1,0,0,2,0,1,2,2
YUM,2,3,3,7,0,0,6,5,0,0,5
ZZX,0,0,0,0,0,0,4,0,0,0,1
